3.8038,0.21332,2.4514,251.5,0.17381
4.567,0.21597,2.923,252.64,0.17517
5.329,0.21861,3.3872,253.77,0.1765
6.087,0.22123,3.8423,254.89,0.1778
7.2739,0.22529,4.5418,256.63,0.17977
8.4428,0.22926,5.2153,258.33,0.18164
9.5916,0.23311,5.8624,259.98,0.18339
10.719,0.23684,6.4833,261.55,0.18503
12.384,0.24224,7.3759,263.78,0.18729
13.996,0.24733,8.2124,265.73,0.18929
15.553,0.25208,8.9953,267.29,0.19101
17.054,0.25649,9.7277,268.27,0.19247
19.721,0.26385,10.979,267.53,0.19451
22.178,0.26995,12.078,260.95,0.19566
24.419,0.27479,13.04,244.83,0.19595
26.438,0.27839,13.88,216.86,0.19545
29.043,0.28157,14.935,160.24,0.19337
31.14,0.28231,15.772,109.23,0.18992
32.754,0.28096,16.426,76.819,0.18539
33.938,0.27792,16.93,59.165,0.18007
34.803,0.27332,17.333,49.399,0.17387
35.354,0.26772,17.635,44.195,0.16732
35.655,0.26143,17.859,41.286,0.16062
35.744,0.25469,18.016,39.604,0.1539
35.642,0.24766,18.109,38.626,0.14726
35.365,0.24047,18.139,38.075,0.14082
34.942,0.23329,18.113,37.788,0.13464
34.422,0.22624,18.045,37.66,0.12878
33.972,0.2208,17.972,37.622,0.12435
33.52,0.21557,17.894,37.61,0.12015
33.084,0.21058,17.817,37.605,0.11618
32.665,0.20583,17.743,37.605,0.11242
32.332,0.2021,17.682,37.61,0.10949
31.999,0.1985,17.619,37.629,0.10669
31.664,0.19501,17.55,37.666,0.10401
31.327,0.19164,17.478,37.722,0.10144
30.999,0.18845,17.405,37.788,0.099031
30.695,0.1854,17.339,37.841,0.09673
30.443,0.18253,17.293,37.842,0.094536
30.276,0.17987,17.285,37.743,0.092439
30.233,0.1776,17.328,37.524,0.09054
30.336,0.17556,17.439,37.179,0.088691
30.613,0.17375,17.634,36.761,0.086861
31.084,0.17212,17.923,36.361,0.085013
31.742,0.17065,18.307,36.085,0.08314
32.59,0.16921,18.79,35.985,0.08116
33.611,0.16769,19.369,36.073,0.079029
34.774,0.16598,20.034,36.319,0.076708
36.174,0.16371,20.853,36.722,0.073891
37.633,0.16092,21.74,37.209,0.070792
39.085,0.15752,22.671,37.741,0.067419
40.469,0.15348,23.623,38.293,0.063802
41.68,0.14904,24.532,38.821,0.060165
42.752,0.14409,25.426,39.339,0.056404
43.666,0.13872,26.292,39.839,0.05258
44.417,0.13302,27.122,40.316,0.048752
45.413,0.1217,28.58,41.147,0.041678
45.931,0.11019,29.88,41.881,0.035079
46.065,0.098985,31.018,42.517,0.029141
45.896,0.088405,31.983,43.053,0.023959
45.621,0.081313,32.563,43.374,0.020715
45.24,0.074693,33.045,43.642,0.017857
44.775,0.068565,33.433,43.857,0.015363
44.252,0.062934,33.735,44.026,0.013204
43.693,0.057786,33.962,44.155,0.011344
