dir,RSEED,sigmaobs,nobs,mae,acc
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.8,2000.0,3.4558745193481446,0.855
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.4,2000.0,3.3435824394226072,0.8625
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.143.h5,218.0,0.4,2000.0,3.225753736495972,0.8725
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.334.h5,218.0,0.8,2000.0,3.3065666770935063,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.143.h5,218.0,0.2,2000.0,3.304477195739746,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.334.h5,218.0,0.7,2000.0,3.2833128547668458,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.334.h5,218.0,0.5,2000.0,3.2540754508972167,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.322.h5,218.0,1.2,2000.0,3.5085292053222656,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.322.h5,218.0,1.0,2000.0,3.359039478302002,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.322.h5,218.0,1.1,2000.0,3.3969526290893555,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563998.322.h5,218.0,0.9,2000.0,3.372780590057373,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.971.h5,219.0,1.6,2000.0,3.496639347076416,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.995.h5,219.0,2.0,2000.0,3.682302684783936,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.971.h5,219.0,1.5,2000.0,3.4818714904785155,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.995.h5,219.0,1.9,2000.0,3.6301933860778814,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.995.h5,219.0,1.8,2000.0,3.616926383972168,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.971.h5,219.0,1.4,2000.0,3.473242845535278,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.087.h5,220.0,0.3,2000.0,3.6291620635986335,0.8525
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.087.h5,220.0,0.1,2000.0,3.6295142459869374,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.087.h5,220.0,0.0,2000.0,3.623570556640625,0.8525
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.123.h5,221.0,0.5,2000.0,3.720369682312012,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.148.h5,221.0,0.9,2000.0,3.816046619415283,0.81
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.123.h5,221.0,0.4,2000.0,3.691380748748778,0.815
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.149.h5,221.0,0.7,2000.0,3.6697093391418463,0.87
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.178.h5,221.0,1.1,2000.0,3.872803897857666,0.805
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.123.h5,221.0,0.3,2000.0,3.665943241119385,0.7925
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.148.h5,221.0,0.8,2000.0,3.835297660827637,0.81
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.149.h5,221.0,0.6,2000.0,3.721726570129393,0.815
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.178.h5,221.0,1.2,2000.0,3.8797186851501455,0.795
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.123.h5,221.0,0.2,2000.0,3.587887783050537,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564070.178.h5,221.0,1.0,2000.0,3.844281311035157,0.8125
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564023.143.h5,218.0,1.3,2000.0,3.4530681610107417,0.8525
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.535.h5,218.0,1.8,2000.0,3.62780611038208,0.805
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.459.h5,218.0,1.9,2000.0,3.669066047668457,0.7975
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.671.h5,218.0,1.5,2000.0,3.6297180938720697,0.81
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.535.h5,218.0,1.6,2000.0,3.5478770256042482,0.7975
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.742.h5,220.0,0.6,2000.0,3.6684173488616953,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.737.h5,220.0,0.5,2000.0,3.6565443229675294,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.535.h5,218.0,1.7,2000.0,3.6335889434814455,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564030.671.h5,218.0,1.4,2000.0,3.584412384033203,0.8125
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.456.h5,219.0,0.6,2000.0,3.40769193649292,0.8675
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.465.h5,219.0,1.2,2000.0,3.4100046443939207,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.391.h5,219.0,0.7,2000.0,3.3675011348724366,0.85
5,,,,,
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.613.h5,220.0,0.4,2000.0,3.654521617889405,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.955.h5,219.0,0.4,2000.0,3.4006719017028813,0.865
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.165.h5,220.0,1.4,2000.0,3.85884141921997,0.8125
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.287.h5,220.0,1.6,2000.0,3.9076738834381097,0.805
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564031.174.h5,218.0,2.0,2000.0,3.7031055068969727,0.8025
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.400.h5,219.0,0.5,2000.0,3.332653617858887,0.8725
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.392.h5,219.0,1.1,2000.0,3.493087730407715,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.263.h5,221.0,0.0,2000.0,3.758739833831787,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.116.h5,220.0,0.9,2000.0,3.707947616577148,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.117.h5,220.0,0.8,2000.0,3.6984853363037113,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.263.h5,221.0,0.1,2000.0,3.7570510482788086,0.8025
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.116.h5,220.0,1.0,2000.0,3.731058292388916,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.263.h5,220.0,2.0,2000.0,4.100516357421875,0.8
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.955.h5,219.0,0.3,2000.0,3.326259384155273,0.8625
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.165.h5,220.0,1.3,2000.0,3.79872127532959,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.165.h5,220.0,1.2,2000.0,3.791346874237061,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.263.h5,220.0,1.9,2000.0,4.048675041198732,0.8075
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.287.h5,220.0,1.5,2000.0,3.868666009902953,0.8075
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.923.h5,219.0,0.9,2000.0,3.392376794815064,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564032.955.h5,219.0,0.1,2000.0,3.265710773468017,0.8775
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.165.h5,220.0,1.1,2000.0,3.7463170146942137,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,221.0,1.7,2000.0,4.023508758544922,0.7875
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.193.h5,222.0,0.0,2000.0,3.6403880882263184,0.8725
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564033.116.h5,220.0,0.7,2000.0,3.7010697555541987,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,222.0,0.2,2000.0,3.63446699142456,0.8825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.188.h5,222.0,0.4,2000.0,3.674693508148193,0.87
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.305.h5,221.0,1.9,2000.0,4.08322021484375,0.7775
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,222.0,0.3,2000.0,3.6699980926513667,0.8575
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,221.0,1.6,2000.0,3.988734073638916,0.7925
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,221.0,1.5,2000.0,3.9601117515563966,0.795
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.193.h5,221.0,1.8,2000.0,4.035033931732178,0.7825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,222.0,0.1,2000.0,3.5573794555664064,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564106.187.h5,221.0,1.4,2000.0,3.924609622955322,0.785
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.789.h5,223.0,1.4,2000.0,3.74220703125,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.789.h5,223.0,1.6,2000.0,3.7974459171295174,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.789.h5,223.0,1.5,2000.0,3.781256771087647,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.789.h5,223.0,1.3,2000.0,3.724964962005615,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.835.h5,224.0,0.3,2000.0,3.2724691581726075,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.835.h5,224.0,0.2,2000.0,3.2969394397735594,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.835.h5,224.0,0.1,2000.0,3.2800640201568605,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.862.h5,224.0,0.5,2000.0,3.2782520389556886,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.862.h5,224.0,0.6,2000.0,3.2891425228118902,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.862.h5,224.0,0.4,2000.0,3.3525328731536863,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.835.h5,224.0,0.0,2000.0,3.24287338256836,0.845
