data_dir,model_dir,RSEED,sigmaobs,nobs,deltaobs,sigmainit,nens,ferr,infl_nlin,f_all,a_all,f_10,a_10,f_30,a_30
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579095.852.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,1.2,3.1464239829450245,3.814490773567607,1.1182748731445271,0.9708976880757958,3.9249963899829337,5.3382699554868385
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579092.023.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,1.0,3.196475877749508,4.109914826349275,1.2904176315880769,1.2434410982634077,4.007727077322232,6.062804415103607
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579082.992.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.5,0.7,3.5804925331388007,5.955292890031879,1.5619804673697235,1.5185360436576407,4.3216080800011465,7.944516920602735
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579095.873.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,1.1,3.3162724078276105,4.337630139588047,1.2537796461483002,1.147566925605224,4.115611229820991,5.7361036266366074
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579104.375.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,1.0,3.1888247642132272,4.201274326868036,1.2527079693929328,1.1327398321137592,3.894283409628532,5.431227670333287
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579095.735.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,1.3,3.3844885590295783,4.543802388064423,1.2494574887947971,1.0395903478234472,4.224236018972322,6.483878992166837
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579089.551.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,0.6,3.4167112896506806,5.3443633010963305,1.390587715444832,1.3771463752759294,4.191957157038304,7.0433477043670925
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579089.558.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,0.7,3.33742197549944,5.307145377323184,1.3946513237561289,1.3282743445703225,4.0171145637359915,6.6656904185632415
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579103.485.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,1.3,3.2486129211172448,4.110615056653991,1.2206775468037507,1.0190300245560109,4.0537488358299205,5.647029613821918
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579099.841.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,1.0,3.2093448680481664,4.436547145638358,1.215380707253633,1.1556071930356124,3.995049727852946,6.134641601041701
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579103.725.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,1.1,3.251334521095939,4.295053390691079,1.2468691017894316,1.1153351941379253,3.992211245768476,5.691522186525968
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579103.092.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,1.2,3.215825438337447,4.17949863657496,1.3657147009898811,1.3882770723248574,3.959077618466658,5.6723177509961795
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579092.498.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.6,0.8,3.4889803680183524,5.596491460407941,1.6341584701593368,1.7119503771750395,4.325981828942332,7.7924803863991
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579099.925.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,0.9,3.2553376824467315,4.626266932128528,1.3428986173487556,1.295673559232335,4.094826873573017,6.736322019972628
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579111.099.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,1.1,3.236488194462668,4.383435221152974,1.2333671922003449,1.1165815382153848,3.9404263998844873,5.578086417963834
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579108.346.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,0.9,3.2508272420172064,4.099577028608634,1.210153777818148,1.0140716360921669,4.142197596673946,6.252166504633832
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579116.682.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,1.4,3.1290047934203207,3.7124159179499294,1.2109235253270805,1.1144699391978634,3.8554970161241298,4.9527122753921935
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579109.753.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,0.8,3.439040438765727,4.824659585569206,1.6051162296684518,1.5339523408988551,4.074977969713869,6.116082425142803
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579099.852.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,0.7,3.61036032802949,6.072998574455241,1.7427084222011164,1.7970746024523876,4.225254067717379,7.611958747815603
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579118.186.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,0.8,3.394357908728064,4.722379900474752,1.4557573445476737,1.4040858421636493,4.097465380260994,6.016945213345302
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579118.091.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,0.6,3.49705476847127,5.3677242559291685,1.4820210255341162,1.3377998145359862,4.157203123561302,6.597021823478049
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579115.252.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,1.3,3.2939081596000217,4.305475579106518,1.2808458235130624,1.0955425088913644,4.007284171531526,5.67715910467487
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579096.014.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,0.5,3.6033777340241055,6.8050736422021005,1.7993210670992332,1.7760680899816097,4.224888034018013,8.67963569237487
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579118.190.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,0.7,3.41103275474251,5.535815908489228,1.5670563547367764,1.3648707287491302,4.046032378004214,6.951390309718276
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579133.199.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,1.3,3.136306441769213,3.7279197102945534,1.179557930299343,1.0385886740274488,3.868138857894348,5.022300153694614
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579105.244.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,0.6,3.5663836564686626,6.06594010282624,1.6045144813777092,1.5807500758402386,4.26914340940553,7.907350102565781
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579109.867.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,0.7,3.520986692088698,5.482247577968466,1.5251648567669909,1.437816031617957,4.231824456739762,7.1370291207535885
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579127.486.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,1.0,3.418665577342121,5.062726563493532,1.4488207562951605,1.4330400474922125,4.0944393067120135,6.175795862494504
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579097.502.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.7,0.6,3.744646721946361,7.710964322939997,1.9333009277372344,2.160421538153942,4.351575318304678,9.551514613871364
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579133.519.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,1.4,3.1479997930499763,3.968104442544917,1.348219042578258,1.2609602551396322,3.824093607933436,5.390913878306332
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579105.219.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,0.5,3.542393295247897,7.215337783385759,1.804744957464239,1.7317744421106884,4.182605275909601,9.145210647848453
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579110.757.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.8,1.2,3.3458824076855103,5.6990204462870215,1.4873583593057558,1.5059590429031018,4.076618813295928,7.7207743966442015
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579134.622.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,0.9,3.33272247622173,4.526140349083073,1.3071829434697828,1.2573268113283056,4.057293924269587,5.703555996006898
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579140.380.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,1.3,3.1880571273873186,4.016021846163726,1.4620976651716182,1.4077252000878098,3.9846195524790864,5.932320884166683
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579147.330.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,0.9,3.1990769985252188,4.150751377749995,1.396070382751332,1.3756937410898609,3.9033497514095012,5.494752206759767
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579137.510.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,1.2,3.2652862915579903,4.2374453508244345,1.4643985041620553,1.5266850756290729,3.949587432579429,5.703163509236554
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579112.152.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,0.5,4.182735372196259,8.90484850721943,2.201719501484805,2.4759177949178075,4.902029798210219,11.782765952332282
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579141.869.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,0.9,1.1,3.1718706681277204,4.258041580689381,1.2994081987739106,1.140995022137868,3.887947712686938,5.624327087002378
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579145.586.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,1.2,3.0752934690635887,3.7882984277260072,1.251033206344359,1.0705290994809016,3.774064004457757,5.066762198445892
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579136.193.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,0.6,3.7437842441839706,6.5532525605039655,1.9072879017730704,1.916683416990398,4.307776724263694,7.862926835034945
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579147.799.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,1.4,3.041252241168679,3.7349321575495447,1.2701331608951685,1.1829907293258588,3.7876702939037634,5.279791478012403
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579142.971.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,0.5,3.6044198369090488,5.771785283543083,1.7417321290578347,1.6646362065658764,4.206868965243628,7.1680794560540475
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579144.988.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,1.1,3.201633620377335,4.3349645013732685,1.322255473532862,1.1330412346120524,3.9463504668828686,5.733599793166723
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579145.071.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,0.8,3.3198176119831784,4.582838544229254,1.3966689344002516,1.2741401100157472,3.983085010702768,5.913852947194117
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579144.200.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,0.9,3.3411827005129062,4.779224652892824,1.4750374442737115,1.4495905088522911,4.063319241305991,6.224937291283574
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579154.287.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,1.2,3.0657770986523323,3.6133069319058864,1.1862765941435254,1.1273918594561685,3.7985499169317993,5.0476343430226915
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579153.619.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,1.3,3.1610678625970383,3.8603102943252336,1.3069285394741956,1.1981792358674004,3.8777082451024265,5.137247425002913
