-0.6583,-1.4229,1.6141,0.7209,4.7644,1.9472,-0.46878,2.4543,2.5983,5.6348,10.661,-0.49753,-1.6123,2.38,5.7703,-1.0811,-2.9376,-2.0355,7.6814,1.8693,1.4022,2.3084,9.1273,7.2434,2.7142,7.267,4.2795,-2.6175,2.7347,6.6426,-0.51782,-1.6792,0.43646,-1.1086,5.95,2.3935,-5.524,0.39826,10.544,2.5017
-1.618,-0.92294,1.7973,1.5782,4.9335,1.8816,-0.26912,2.704,3.6964,6.862,8.901,-3.6176,-0.3703,2.2569,5.8249,-1.9639,-1.7799,-2.587,7.1132,3.4788,1.1121,3.0083,9.8544,7.169,2.1175,6.8512,2.6665,-2.8396,2.5366,6.9383,-1.4177,-0.90681,0.79631,-0.44284,5.9996,1.2933,-5.4452,-1.5325,10.2,2.4693
-2.4977,-0.40764,1.9713,2.4119,5.0716,1.6511,-0.0553,2.9433,4.9498,7.8525,5.581,-5.5593,1.1361,2.768,5.6076,-2.4678,-0.38777,-2.5506,6.4792,4.8734,0.73459,3.5252,10.712,6.3977,1.2004,6.5152,1.4681,-2.7374,2.1167,7.1167,-1.9106,0.033457,1.1174,0.27013,6.0938,0.085018,-5.0671,-3.3967,9.1253,2.9378
-3.3394,0.17778,2.2354,3.2175,5.127,1.2742,0.19094,3.2049,6.2868,7.9289,1.2021,-5.9917,1.4999,3.8191,5.0689,-2.7337,0.99371,-1.8995,5.9876,5.8893,0.43496,3.9033,11.504,4.8322,0.24334,6.4259,0.74618,-2.4507,1.6292,7.22,-1.9002,0.97875,1.521,1.0038,6.1248,-1.1102,-4.1582,-4.8525,7.4474,3.6874
-3.9622,0.84954,2.7023,3.9961,5.0152,0.78877,0.48375,3.5369,7.515,6.445,-2.9414,-5.0173,0.41244,4.5548,4.4216,-2.8223,2.1637,-0.73906,5.7789,6.4755,0.25878,4.1946,12.005,2.5954,-0.34814,6.514,0.41756,-2.0769,1.1994,7.2971,-1.4192,1.7747,2.0472,1.7481,5.9823,-2.095,-2.658,-5.5954,5.5382,4.4071
-4.1685,1.5248,3.4575,4.7321,4.6164,0.26193,0.82071,3.993,8.3286,3.3573,-5.3767,-3.2654,-1.0186,4.5976,4.045,-2.7063,3.0182,0.78544,5.8838,6.6056,0.15884,4.4351,12.045,0.092442,-0.2995,6.6054,0.30857,-1.6806,0.89212,7.3739,-0.58644,2.3287,2.6554,2.478,5.5828,-2.6937,-0.78222,-5.5391,3.8956,4.9316
-3.9448,2.0716,4.49,5.3549,3.8049,-0.20117,1.1682,4.5986,8.3919,-0.4945,-5.5057,-1.9187,-1.8159,4.2956,4.0007,-2.4071,3.5576,2.5298,6.2337,6.2176,0.067773,4.639,11.582,-2.1492,0.37484,6.6792,0.20504,-1.2837,0.72256,7.4585,0.44835,2.6239,3.2686,3.1449,4.9035,-2.8548,1.0825,-4.8333,2.8321,5.2674
-3.4358,2.4162,5.6837,5.7083,2.5309,-0.46223,1.4689,5.3053,7.4898,-3.881,-3.7868,-1.4871,-2.0497,3.9303,4.1475,-1.9773,3.8427,4.3656,6.6555,5.2203,-0.029371,4.8075,10.706,-3.7557,1.3883,6.8817,-0.057845,-0.8573,0.68983,7.555,1.5422,2.6952,3.8166,3.6886,3.9935,-2.6645,2.6097,-3.7206,2.3466,5.4754
-2.8157,2.5768,6.8755,5.5745,0.9243,-0.39933,1.7,5.9855,5.6755,-5.9637,-1.2367,-1.3723,-2,3.5598,4.3939,-1.4546,3.9635,6.1663,6.8458,3.5887,-0.051012,4.9486,9.5702,-4.6659,2.3442,7.3057,-0.52756,-0.33848,0.81417,7.6733,2.5696,2.5953,4.2568,4.0586,2.9507,-2.2674,3.6666,-2.4131,2.2641,5.5925
-2.2105,2.6235,7.9137,4.7785,-0.67857,-0.012962,1.9428,6.4989,3.2701,-6.6818,0.98488,-0.91768,-1.7163,3.2531,4.6877,-0.8605,4.0241,7.7851,6.4006,1.5271,0.1276,5.1041,8.2882,-5.0703,2.939,7.8729,-1.1087,0.3332,1.1609,7.8322,3.4103,2.3714,4.5794,4.2325,1.8863,-1.7861,4.2921,-1.0545,2.4056,5.6214
